13200,15960
16680,18720
26280,28680
29520,31560
40320,42600
43320,45360
55080,57600
58080,60000
69480,71760
72240,74520
83040,85080
85560,87600
97800,100080
100680,102480
113040,115200
115920,117840
121080,121440
123000,123480
126360,128520
129000,131040
135000,135960
141600,143880
144480,146760
155040,157320
157920,159960
161520,161640
168600,170880
171480,173640
174600,175080
182760,185040
185520,187800
195720,197880
198480,200520
208920,211200
211800,213840
221040,223440
224040,225720
234480,236520
237240,239160
247320,249480
249960,252000
259920,262200
262920,264840
272760,275160
275640,277800
285600,287880
288480,290400
290520,290760
299520,301920
302400,304200
313200,315480
316080,318240
327000,329040
329640,331440
339720,341880
342360,344280
351960,354240
354720,356520
363600,365760
366240,367920
375840,380520
381360,381480
381600,381720
381840,381960
388200,390480
391080,393000
393960,394080
394320,394560
394680,394800
395280,395400
400680,403560
403680,405840
412560,415080
415800,417960
426240,428640
428760,430320
438720,441120
441600,443400
451800,454080
454920,458040
463680,466200
466920,469080
475800,478080
478800,480600
489120,491400
491520,493200
