1320,1560
17640,18840
18960,22680
40680,43080
43320,46080
67560,68880
69000,73080
94560,95880
96240,96720
97080,99960
115680,115800
117000,122160
122400,122760
140640,141720
141960,142800
143160,145920
163560,164760
165960,167400
167760,169080
185880,188280
188760,191640
208920,210360
210600,211680
211920,213480
213600,214680
233520,234600
234840,238920
253080,253200
256800,262440
280800,282360
282480,286920
304080,305400
305640,309480
326640,327960
328080,328920
329040,331920
345960,346080
349920,350880
351120,354960
371040,376080
380040,380160
392040,396960
411000,411120
411600,412800
413040,416760
432600,437760
452400,453600
453840,454800
455160,457680
462960,463080
463200,463440
463920,464040
464160,464280
472560,473760
474120,480000
492600,492720
494640,495360
495480,499440
