18120,23400
23760,24120
24720,26760
26880,27000
39480,43680
43920,44040
44160,44520
44640,44880
45600,45960
62640,66480
66840,66960
86160,89160
89520,89880
90360,91320
106560,110400
110760,110880
111000,112200
127320,131160
131400,131760
147120,151200
151320,153120
167400,171000
171120,171480
187920,191520
191880,192000
192120,192720
208920,211560
211800,212400
212640,213240
230760,234000
234240,234600
257160,260760
260880,261600
262560,262680
276720,276840
279960,283560
284160,284520
284640,284760
303240,307200
307560,307680
327840,327960
328080,331680
331920,332400
351600,355920
356280,356520
377760,377880
378360,382560
382800,382920
392760,392880
410040,410160
410280,413640
414120,414960
415320,416160
441720,445800
446160,447360
471360,474360
474600,474960
475440,476880
477480,477720
477840,479880
498960,502440
502560,503040
503280,504600
530040,533880
534240,535200
555120,558120
558240,559080
559320,559560
561240,561480
